ticker,date,actual,forecast,model,mae,rmse,mape
ZTS,2017-12-26,72.34,72.0718657391447,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2017-12-27,72.45,72.06036654644144,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2017-12-28,72.39,72.11705011772133,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2017-12-29,72.04,72.17007664788586,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-02,71.77,72.2308116822985,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-03,72.1,72.24238380250652,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-04,72.53,72.21775926687569,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-05,73.36,72.27367115580482,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-08,74.24,72.33053159709426,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-09,75.11,72.3942494994442,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-10,73.91,72.40519954995747,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-11,74.59,72.38045896912823,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-12,75.39,72.43636379675378,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-16,75.54,72.49325748273678,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-17,76.77,72.55700128821431,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-18,76.33,72.56794593237082,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-19,76.62,72.54320434302089,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-22,77.48,72.59910910923742,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-23,77.59,72.65600308403016,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-24,78.33,72.71974711454496,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-25,79.25,72.73069171173218,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-26,80.09,72.70595011362042,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-29,79.18,72.76185487930346,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-30,78.35,72.81874885660528,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-01-31,76.73,72.88249288907515,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-02-01,77.82,72.89343748585432,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-02-02,76.78,72.86869588766645,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-02-05,73.83,72.92460065334483,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-02-06,73.27,72.98149463066845,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
ZTS,2018-02-07,73.86,73.0452386631553,SARIMA,2.8475427256381267,3.609788583075174,3.6895343946923216
A,2017-12-26,67.25,67.4351461960541,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2017-12-27,67.3,67.40822117773338,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2017-12-28,67.45,67.44768572937924,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2017-12-29,66.97,67.486406973466,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2018-01-02,67.6,67.5958052701196,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2018-01-03,69.32,67.66886404187517,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2018-01-04,68.8,67.63291300931154,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2018-01-05,69.9,67.66560986195012,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2018-01-08,70.05,67.69929135281654,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2018-01-09,71.77,67.80490733697762,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2018-01-10,70.79,67.8751501134523,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2018-01-11,70.8,67.83709471467347,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2018-01-12,71.73,67.86821899597663,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2018-01-16,71.23,67.90072531873514,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2018-01-17,72.06,68.00546311196304,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
A,2018-01-18,72.19,68.0750496243942,SARIMA,3.024903227902647,3.6866606512036,4.169806721535155
