ticker,return,volatility,volume,cluster,cluster_proba
A,0.0005003374445047694,0.013895219002576746,2311301.253634895,2,0.9538484293309603
AAL,0.0012390891137077718,0.02145918043507944,9371459.892568659,0,0.5767258549707971
AAP,0.00046409265787350306,0.01677918187944387,1079500.7075928918,2,0.7669557256516958
AAPL,0.0008626870032858818,0.013725381911146015,52943511.62520194,3,1.0
ABBV,0.0010341047590323425,0.015242414834645142,7880942.352180937,0,0.9092708019826864
ABC,0.0006342364745161643,0.012339064333027606,2010801.4297253634,2,0.9802366273339861
ABT,0.0004958558971080035,0.011550317205895685,6939432.408723748,0,0.9186624444964778
ACN,0.0006232505528626448,0.011167097983062216,2602799.662358643,2,0.9703442949084815
ADBE,0.0013569808390741936,0.014291510999539679,2993698.4676898224,0,0.7209237716968857
ADI,0.0006037767074252886,0.013933324218594315,2451755.777867528,2,0.9420330046234329
ADM,0.0003148781390009229,0.013373851374637386,3614422.440226171,2,0.7387482932285446
ADP,0.0005320433313913989,0.010381647318734383,2024647.4604200323,2,0.9872957689485988
ADS,0.00050475871808683,0.015338581821742246,622034.1001615509,2,0.9114676629355695
ADSK,0.0009915295382520004,0.01772746966071986,2458306.1373182554,0,0.7354722828528572
AEE,0.00042151514724605895,0.010374315878290134,1618644.1526655897,2,0.9893108576526882
AEP,0.00030449336571685564,0.010083946170950068,2783500.158319871,2,0.9632119964938811
AES,-1.8147314396157055e-05,0.015138657202325502,5558303.360258481,0,0.9971201174955712
AET,0.0011523985737139151,0.013962271648951379,2703723.841680129,2,0.6988411979562541
AFL,0.00047015803075201745,0.009687179303600135,2080834.8836833602,2,0.9868370040630368
AGN,0.0006913286721544161,0.016562723541892248,2909730.440226171,2,0.5294372464280533
AIG,0.00042947890320095756,0.012232102166367007,8233102.838449111,0,0.8742660103906881
AIV,0.0002815010318656019,0.011348043625205646,1197029.8432956382,2,0.9839694304359476
AIZ,0.0006552499748794054,0.01194822170334313,537473.5686591276,2,0.9847344624547171
AJG,0.00047493138651641696,0.00892706929222014,929974.2431340872,2,0.991576939730565
AKAM,0.000706337619518512,0.018816980229957033,2138110.4200323103,0,0.7934442862205298
ALB,0.0005482824720376404,0.016104203896084315,1169723.6211631664,2,0.8760820626123709
ALGN,0.001782688000186899,0.01877922016914562,888887.2447495961,0,0.9413038761755704
